Judul,Tahun
Direction Density-Based Secure Routing Protocol for Healthcare Data in Incompletely Predictable Networks,2016
Software Defined Radio Implementation of a Non-Orthogonal Multiple Access System Towards 5G,2016
Deep Dictionary Learning,2016
QoI-Aware Unified Framework for Node Classification and Self-Reconfiguration Within Heterogeneous Visual Sensor Networks,2016
Global Adaptive Practical Output Tracking Control for a Class of Genuinely Nonlinear Uncertain Systems: Adding an Universal Power Integrator Approach,2016
A Secure IoT-Based Healthcare System With Body Sensor Networks,2016
Linear State Feedback Regulation of a Furuta Pendulum: Design Based on Differential Flatness and Root Locus,2016
Jaya Based ANFIS for Monitoring of Two Class Motor Imagery Task,2016
Orbital Angular Momentum (OAM) Generation by Cylinder Dielectric Resonator Antenna for Future Wireless Communications,2016
A Fast Algorithm for Unbiased Estimation of Variance of AUC Based on Dynamic Programming,2016
Research on Design Method and Electromagnetic Vibration of Six-Phase Fractional-Slot Concentrated-Winding PM Motor Suitable for Ship Propulsion,2016
Approximate Analytic Quadratic-Optimization Solution for TDOA-Based Passive Multi-Satellite Localization With Earth Constraint,2016
Dynamic Surface Adaptive Fuzzy Control of Three-Phase Active Power Filter,2016
Adaptive Fuzzy Global Fast Terminal Sliding Mode Control for Microgyroscope System,2016
Fractional-Order Euler-Lagrange Equation for Fractional-Order Variational Method: A Necessary Condition for Fractional-Order Fixed Boundary Optimization Problems in Signal Processing and Image Processing,2016
A Clue Based Data Collection Routing Protocol for Mobile Sensor Networks,2016
Synchronous Control of Hysteretic Creep Chaotic Neural Network,2016
Cluster-Based Resource Allocation for Spectrum-Sharing Femtocell Networks,2016
Processing and 3D printing of Gradient Heterogeneous Bio-Model Based on Computer Tomography Images,2016
Transceiver Optimization for Full-Duplex Massive MIMO AF Relaying With Direct Link,2016
Probabilistic CkNN Queries of Uncertain Data in Large Road Networks,2016
Safeguarding the Ultra-dense Networks with the aid of Physical Layer Security: A review and a case study,2016
Kinship Measurement on Face Images by Structured Similarity Fusion,2016
An Overview on Networked Music Performance Technologies,2016
Propagation Modeling in Large-Scale Cooperative Multi-Hop Ad Hoc Networks,2016
A Novel Fractional-Order Differentiation Model for Low-Dose CT Image Processing,2016
A Stable Online Scheduling Strategy for Real-Time Stream Computing Over Fluctuating Big Data Streams,2016
A Survey of Tablet Applications for Promoting Successful Aging in Older Adults,2016
Privacy-Preserving k-Nearest Neighbor Computation in Multiple Cloud Environments,2016
Joint Caching Placement and User Association for Minimizing User Download Delay,2016
Challenges of Mobile Social Device Caching,2016
Flexible Backhauling With Massive MIMO for Ultra-Dense Networks,2016
Energy Efficient Resource Allocation in Cloud Computing Environments,2016
Improving RGBD Saliency Detection Using Progressive Region Classification and Saliency Fusion,2016
Reaching Law Based Discrete Time Sliding Mode Inventory Management Strategy,2016
Channel Estimation for Massive MIMO-OFDM Systems by Tracking the Joint Angle-Delay Subspace,2016
Optimal Design of Secrecy Massive MIMO Amplify-and-Forward Relaying Systems With Double-Resolution ADCs Antenna Array,2016
Locality-Constrained Double Low-Rank Representation for Effective Face Hallucination,2016
Smart Channel Sounder for 5G IoT: From Wireless Big Data to Active Communication,2016
Low Power Personalized ECG Based System Design Methodology for Remote Cardiac Health Monitoring,2016
Pose Determination of a Robot Manipulator Based on Monocular Vision,2016
Hierarchical Resource Allocation Framework for Hyper-Dense Small Cell Networks,2016
Owner Specified Excessive Access Control for Attribute Based Encryption,2016
Novel Feeding Mechanism to Stimulate Triple Radiating Modes in Cylindrical Dielectric Resonator Antenna,2016
A Wearable Inertial Measurement System With Complementary Filter for Gait Analysis of Patients With Stroke or Parkinson’s Disease,2016
Joint Prediction of Rating and Popularity for Cold-Start Item by Sentinel User Selection,2016
A Low Complexity Iterative Channel Estimation and Decoding Receiver Based on Reed-Solomon PTA,2016
Optimal Mode Selection With Uplink Data Rate Maximization for D2D-Aided Underlaying Cellular Networks,2016
Heterogeneous Multi-View Information Fusion: Review of 3-D Reconstruction Methods and a New Registration with Uncertainty Modeling,2016
Impact of Self-Interference on the Performance of Joint Partial RAKE Receiver and Adaptive Modulation,2016
Distributed Semi-Supervised Metric Learning,2016
Narrowband Interference Mitigation in UWB Systems Utilizing Frequency Dependence of Null Formation in Array Antennas,2016
Throughput and Delay Analysis of Cognitive Go-Back-N Hybrid Automatic Repeat reQuest Using Discrete-Time Markov Modelling,2016
"Facial Emotion Recognition Based on Biorthogonal Wavelet Entropy, Fuzzy Support Vector Machine, and Stratified Cross Validation",2016
A Wind-Wave Farm System With Self-Energy Storage and Smoothed Power Output,2016
Segmentation of Factories on Electricity Consumption Behaviors Using Load Profile Data,2016
Pushing the Wireless Data Rate to the Internet Speed,2016
Apache Hama: An Emerging Bulk Synchronous Parallel Computing Framework for Big Data Applications,2016
A Novel Framework of Data-Driven Networking,2016
Energy-Efficient Distributed Topology Control Algorithm for Low-Power IoT Communication Networks,2016
Robust Tracking and Synchronization of Double Shaking Tables Based on Adaptive Sliding Mode Control With Novel Reaching Law,2016
Resource Allocation in Downlink Large-Scale MIMO Systems,2016
Electro-Hydraulic Servo Plate-Inclined Plunger Hydraulic Transformer,2016
Position-Aided mm-Wave Beam Training Under NLOS Conditions,2016
Bridge-Mounted River Stage Sensors (BMRSS),2016
Mobile Services for Customization Manufacturing Systems: An Example of Industry 4.0,2016
Computational Cost Reduction for N+2 Order Coupling Matrix Synthesis Based on Desnanot-Jacobi Identity,2016
Closed Form Analysis of the Normalized Matched Filter With a Test Case for Detection of Underwater Acoustic Signals,2016
A DSRC-Based Vehicular Positioning Enhancement Using a Distributed Multiple-Model Kalman Filter,2016
Joint Optimization of Service Function Chaining and Resource Allocation in Network Function Virtualization,2016
A Mobility-Oriented Scheme for Virtual Machine Migration in Cloud Data Center Network,2016
QoE-Aware Downlink User-Cell Association in Small Cell Networks: A Transfer-matching Game Theoretic Solution With Peer Effects,2016
PAC Algorithms for Detecting Nash Equilibrium Play in Social Networks: From Twitter to Energy Markets,2016
Quantum-Assisted Joint Multi-Objective Routing and Load Balancing for Socially-Aware Networks,2016
Overview of LTE Spectrum Sharing Technologies,2016
Performance of Cognitive Selective-Repeat Hybrid Automatic Repeat Request,2016
A Scalable Turbo Decoding Algorithm for High-Throughput Network-on-Chip Implementation,2016
Facing the Millimeter-Wave Cell Discovery Challenge in 5G Networks With Context-Awareness,2016
Mixed Control Charts Using EWMA Statistics,2016
Coordinated Scheduling Algorithm for System Utility Maximization With Heterogeneous QoS Requirements in Wireless Relay Networks,2016
Hybrid Modeling of Strategic Loading of a Marine Hybrid Power Plant With Experimental Validation,2016
Underdetermined DOA Estimation Under the Compressive Sensing Framework: A Review,2016
Joint Secure AF Relaying and Artificial Noise Optimization: A Penalized Difference-of-Convex Programming Framework,2016
A Joint Tensor Completion and Prediction Scheme for Multi-Dimensional Spectrum Map Construction,2016
Consensus Analysis of Second-Order Multi-Agent Networks With Sampled Data and Packet Losses,2016
Adaptive Framework for Reliable Cloud Computing Environment,2016
A Framework for Iris Biometrics Protection: A Marriage Between Watermarking and Visual Cryptography,2016
Design of a Wideband Circularly Polarized Strip-Helical Antenna With a Parasitic Patch,2016
Time Allocation and Load Balancing in Multi-Cell Wireless Powered Communication Networks,2016
An Effective Pattern Pruning and Summarization Method Retaining High Quality Patterns With High Area Coverage in Relational Datasets,2016
Posture Recognition to Prevent Bedsores for Multiple Patients Using Leaking Coaxial Cable,2016
Asymptotic Mean and Variance of Gini Correlation Under Contaminated Gaussian Model,2016
Modeling Dynamic Adaptive Streaming Over Information-Centric Networking,2016
Unambiguous Tracking Technique Based on Sub-Carrier Pulse Grouping for TMBOC-Modulated Signals in GPS,2016
Robust Artificial Noise-Aided Secure Beamforming in Wireless-Powered Non-Regenerative Relay Networks,2016
Visual Attention-Based Image Watermarking,2016
A Self-Organizing State Space Type Microstructure Model for Financial Asset Allocation,2016
Robust Decentralized Static Output-Feedback Control Design for Large-Scale Nonlinear Systems Using Takagi-Sugeno Fuzzy Models,2016
Learning How to Communicate in the Internet of Things: Finite Resources and Heterogeneity,2016
Keystroke Biometrics Ongoing Competition,2016
Healthcare Big Data Voice Pathology Assessment Framework,2016
Energy-Efficient Signalling in QoS Constrained Heterogeneous Networks,2016
Efficient Fingerprinting-Based Android Device Identification With Zero-Permission Identifiers,2016
On-Demand Hybrid Routing for Cognitive Radio Ad-Hoc Network,2016
A Novel Multiobjective Cell Switch-Off Framework for Cellular Networks,2016
An Increase of a Down-Hole Nuclear Magnetic Resonance Tool’s Reliability and Accuracy by the Cancellation of a Multi-Module DC/AC Converter’s Output’s Higher Harmonics,2016
Secure Index for Resource-Constraint Mobile Devices in Cloud Computing,2016
Predicting Atmospheric Attenuation Under Pristine Conditions Between 0.1 and 100 THz,2016
A General QoS Aware Flow-Balancing and Resource Management Scheme in Distributed Software-Defined Networks,2016
Location-Aware Channel Estimation Enhanced TDD Based Massive MIMO,2016
Neighbor-Based Dynamic Connectivity Factor Routing Protocol for Mobile Ad Hoc Network,2016
"Database-Assisted Television White Space Technology: Challenges, Trends and Future Research Directions",2016
A Perspective on Deep Imaging,2016
The Work Flow and Operational Model for Geotechnical Investigation Based on BIM,2016
Towards Secure and Accurate Targeted Mobile Coupon Delivery,2016
ESPRIT and Unitary ESPRIT Algorithms for Coexistence of Circular and Noncircular Signals in Bistatic MIMO Radar,2016
Robust QoS-Aware Cross-layer Design of Adaptive Modulation Transmission on OFDM Systems in High-Speed Railway,2016
An Overview of Low-Rank Channel Estimation for Massive MIMO Systems,2016
A New Fuzzy Ontology Development Methodology (FODM) Proposal,2016
Energy Efficiency Maximization for Device-to-Device Communication Underlaying Cellular Networks on Multiple Bands,2016
Cooperative Spectrum Sensing With Data Mining of Multiple Users’ Historical Sensing Data,2016
Internet of Things Based Energy Aware Smart Home Control System,2016
"The Nature, Antecedents, and Impacts of Visuo-Spatial Mental Models of Web Interface Design",2016
On the Security of a Universal Cryptocomputer: the Chosen Instruction Attack,2016
A New Fuzzy Clustering Method With Neighborhood Distance Constraint for Volcanic Ash Cloud,2016
Advances in Classifier Evaluation: Novel Insights for an Electric Data-Driven Motor Diagnosis,2016
A Practical Design and Implementation of a Low Cost Platform for Remote Monitoring of Lower Limb Health of Amputees in the Developing World,2016
Robust Optimization for Dynamic Economic Dispatch Under Wind Power Uncertainty With Different Levels of Uncertainty Budget,2016
Energy Efficiency of Repetition Coding and Parallel Coding Relaying Under Partial Secrecy Regime,2016
Complex Event Processing Modeling by Prioritized Colored Petri Nets,2016
An Advection-Diffusion Model for the Vacancy Migration Memristor,2016
Comparing Oversampling Techniques to Handle the Class Imbalance Problem: A Customer Churn Prediction Case Study,2016
Joint Design of Iterative Training-Based Channel Estimation and Cluster Formation in Cloud-Radio Access Networks,2016
Global Energy-Efficiency Metric for Coordinated Cognitive Radio Networks,2016
Exploration of the Reliability of Automotive Electronic Power Steering System Using Device Junction Electrothermal Profile Cycle,2016
Power Control for 5G User-Centric Network: Performance Analysis and Design Insight,2016
Double Closed-Loop PI Control of Three-Phase Inverters by Binary-Coded Extremal Optimization,2016
A Hierarchical Privacy Preserving Pseudonymous Authentication Protocol for VANET,2016
An Efficient Protocol With Bidirectional Verification for Storage Security in Cloud Computing,2016
Interference Mitigation in D2D Communication Underlaying LTE-A Network,2016
PRACB: A Novel Channel Bonding Algorithm for Cognitive Radio Sensor Networks,2016
Mobile Smart Grids: Exploiting the TV White Space in Urban Scenarios,2016
Capability Indices for Non-Normal Distribution Using Gini’s Mean Difference as Measure of Variability,2016
Extrinsic Information Modification in the Turbo Decoder by Exploiting Source Redundancies for HEVC Video Transmitted Over a Mobile Channel,2016
MLP Neural Network Based Gas Classification System on Zynq SoC,2016
Throughput Improvement in Cellular Networks via Full-Duplex Based Device-to-Device Communications,2016
Dynamic Trust Associations Over Socially-Aware D2D Technology: A Practical Implementation Perspective,2016
Impact of Fouling on Flow-Induced Vibration Characteristics in Fluid-Conveying Pipelines,2016
$\text{E}^{3}$ MC: Improving Energy Efficiency via Elastic Multi-Controller SDN in Data Center Networks,2016
A Review of Technology Standards and Patent Portfolios for Enabling Cyber-Physical Systems in Advanced Manufacturing,2016
Enhanced Industrial Machinery Condition Monitoring Methodology Based on Novelty Detection and Multi-Modal Analysis,2016
Predicting Complications in Critical Care Using Heterogeneous Clinical Data,2016
Power and Rate Adaptation Based on CSI and Velocity Variation for OFDM Systems Under Doubly Selective Fading Channels,2016
Multiplication-Based Pulse Integration for Detecting Underwater Target in Impulsive Noise Environment,2016
Virtual Spatial Modulation,2016
A Unified Routing Framework for Integrated Space/Air Information Networks,2016
Artificial Neural Network for Diffraction Based Overlay Measurement,2016
Social-Aware Incentivized Caching for D2D Communications,2016
Space-Time Block Diagonalization for Frequency-Selective MIMO Broadcast Channels,2016
Adaptive Neural LMI-Based H-Infinity Control for MEMS Gyroscope,2016
System Design for Big Data Application in Emotion-Aware Healthcare,2016
Real-Time Tracking and Navigation for Magnetically Manipulated Untethered Robot,2016
On the Robust Trajectory Tracking Task for Flexible-Joint Robotic Arm With Unmodeled Dynamics,2016
A Location Cloaking Algorithm Based on Combinatorial Optimization for Location-Based Services in 5G Networks,2016
Joint Optimization of Energy Harvesting and Detection Threshold for Energy Harvesting Cognitive Radio Networks,2016
Outage Analysis of Wireless-Powered Relaying MIMO Systems with Non-Linear Energy Harvesters and Imperfect CSI,2016
Hand Gesture Recognition Using Micro-Doppler Signatures With Convolutional Neural Network,2016
Multi-Population Based Ensemble Mutation Method for Single Objective Bilevel Optimization Problem,2016
Re-Investigation of Generalized Integrator Based Filters From a First-Order-System Perspective,2016
Fabrication of p-n Junction With an n-Type Silicon Nanoparticle Layer by Using Infrared Fiber Laser Illumination,2016
Performance Improvement of Quasi-Type-1 PLL by using a Complex Notch Filter,2016
A Four-Element Linear Dielectric Resonator Antenna Array for Beamforming Applications With Compensation of Mutual Coupling,2016
Linewidth Reconstruction Employing a Radial Basis Function Network in Optical Scatterometry,2016
Detecting and Tracing i.i.d. Attacks in Networks With Any Number of Relays,2016
MapReduce-Based Distributed Video Encoding Using Content-Aware Video Segmentation and Scheduling,2016
Beamwidth Reconfigurable Magneto-Electric Dipole Antenna Based on Tunable Strip Grating Reflector,2016
Analysis of the FM Radio Spectrum for Secondary Licensing of Low-Power Short-Range Cognitive Internet of Things Devices,2016
You Are Probably Not the Weakest Link: Towards Practical Prediction of Susceptibility to Semantic Social Engineering Attacks,2016
Cooperative Sleep and Power Allocation for Energy Saving in Dense Small Cell Networks,2016
Self-Synchronized Universal Droop Controller,2016
An Efficient and Effective Automatic Recognition System for Online Recognition of Foreign Fibers in Cotton,2016
Discovering Co-Located Walking Groups of People Using iBeacon Technology,2016
Charging Schemes for Plug-In Hybrid Electric Vehicles in Smart Grid: A Survey,2016
A Discounted Fuzzy Relational Clustering of Web Users’ Using Intuitive Augmented Sessions Dissimilarity Metric,2016
Web Performance Evaluation for Internet of Things Applications,2016
An Optimized Flow Allocation in Vehicular Cloud,2016
Vehicle Positioning Using 5G Millimeter-Wave Systems,2016
Compressed Sensing Improves the Performance of Subcarrier Index-Modulation-Assisted OFDM,2016
Editorial for IEEE Access Special Section on Theoretical Foundations for Big Data Applications: Challenges and Opportunities,2016
Through Global Sharing to Improve Network Efficiency for Radio-Frequency Interconnect Based Network-on-Chip,2016
Impact of Factor Graph on Average Sum Rate for Uplink Sparse Code Multiple Access Systems,2016
Robust Synthesis Scheme for Secure Multi-Beam Directional Modulation in Broadcasting Systems,2016
Design and Fabrication of a Skew-Typed Longitudinal-Torsional Composite Ultrasonic Vibrator for Titanium Wire Drawing,2016
A Novel Weighted Edit Distance-Based Spelling Correction Approach for Improving the Reliability of Devanagari Script-Based P300 Speller System,2016
A Multi-Layer Parametric Approach to Maximize the Access Probability of Mobile Networks,2016
Fault Estimation and Fault-Tolerant Control of Wind Turbines Using the SDW-LSI Algorithm,2016
Unimodal and Multimodal Biometric Sensing Systems: A Review,2016
A Conceptual Framework for the Automated Generalization of Geological Maps Based on Multiple Agents and Workflow,2016
Rate Maximization for Downlink Multiuser Visible Light Communications,2016
Feasibility Study of Using the Housing Cases of Implantable Devices as Antennas,2016
A Cluster-Based Energy-Efficient Resource Management Scheme for Ultra-Dense Networks,2016
Multiple Disease Risk Assessment With Uniform Model Based on Medical Clinical Notes,2016
TTP Based High-Efficient Multi-Key Exchange Protocol,2016
Protecting Encrypted Signature Functions Against Intrusions on Computing Devices by Obfuscation,2016
A Petri Net Method for Compatibility Enforcement to Support Service Choreography,2016
Response to “Children Absorb Higher Doses of Radio Frequency Electromagnetic Radiation From Mobile Phones Than Adults” and “Yes the Children Are More Exposed to Radiofrequency Energy From Mobile Telephones Than Adults”,2016
"Toward Ubiquitous Real-Time Radio Propagation Modeling: The Exploitation of Cyber Resources, GPU and Fast and Accurate EM Algorithms",2016
On the Influence of Velocity and Acceleration Estimators on a Servopneumatic System Behaviour,2016
Synthetic Modeling Method for Large Scale Terrain Based on Hydrology,2016
An Efficient Transmission Scheme for DCSK Cooperative Communication Over Multipath Fading Channels,2016
Fuzzy Multilevel Image Thresholding Based on Modified Discrete Grey Wolf Optimizer and Local Information Aggregation,2016
Relay-Assisted Primary and Secondary Transmissions in Cognitive Radio Networks,2016
Wideband Filtering Power Divider With Ultra-Wideband Harmonic Suppression and Isolation,2016
Adaptive Optimal Dual Frames for Signal Reconstruction With Erasures,2016
Mobile Cloud Computing Model and Big Data Analysis for Healthcare Applications,2016
ECG Monitoring System Integrated With IR-UWB Radar Based on CNN,2016
Securing the Industrial-Tactile Internet of Things With Deterministic Silicon Photonics Switches,2016
New Weighted Integral Inequalities and Its Application to Exponential Stability Analysis of Time-Delay Systems,2016
Adopting MDE for Specifying and Executing Civilian Missions of Mobile Multi-Robot Systems,2016
Fault Detection for Two-Dimensional Roesser Systems With Sensor Faults,2016
Fault Tolerant Control for Uncertain Networked Control Systems With Induced Delays and Actuator Saturation,2016
Decoupled Downlink-Uplink Coverage Analysis with Interference Management for Enriched Heterogeneous Cellular Networks,2016
Route Selection for Multi-Hop Cognitive Radio Networks Using Reinforcement Learning: An Experimental Study,2016
A Multiband OFDMA Heterogeneous Network for Millimeter Wave 5G Wireless Applications,2016
Queueing Characteristics of the Best Effort Network Coding Strategy,2016
Hierarchical Complexity Control of HEVC for Live Video Encoding,2016
Identification of Lightning Strike on 500-kV Transmission Line Based on the Time-Domain Parameters of a Traveling Wave,2016
Automatic Target Recognition in Synthetic Aperture Radar Imagery: A State-of-the-Art Review,2016
Fractal Dimension Estimation for Developing Pathological Brain Detection System Based on Minkowski-Bouligand Method,2016
Dual-Polarized Massive MIMO Systems Under Multi-Cell Pilot Contamination,2016
ECRModel: An Elastic Collision-Based Rumor-Propagation Model in Online Social Networks,2016
An Overview of Physical Layer Security in Wireless Communication Systems With CSIT Uncertainty,2016
Discrete Weighted Centroid Localization (dWCL): Performance Analysis and Optimization,2016
Social-Aware Data Collection Scheme Through Opportunistic Communication in Vehicular Mobile Networks,2016
Weighted Visibility Graph With Complex Network Features in the Detection of Epilepsy,2016
An Energy-Efficient Data Forwarding Strategy for Heterogeneous WBANs,2016
A Square-Constellation-Based $M$ -Ary DCSK Communication System,2016
LTE in Unlicensed Bands Is Neither Friend nor Foe to Wi-Fi,2016
Efficient Stochastic Approximation Monte Carlo Sampling for Heterogeneous Redundancy Allocation Problem,2016
Mobilouds: An Energy Efficient MCC Collaborative Framework With Extended Mobile Participation for Next Generation Networks,2016
Performance Evaluation of Multimodal Detection Method for GNSS Intermediate Spoofing,2016
Millimeter Wave Power Monitoring in EAST ECRH System,2016
When Social Network Meets Mobile Cloud: A Social Group Utility Approach for Optimizing Computation Offloading in Cloudlet,2016
Industrial Time Series Modelling by Means of the Neo-Fuzzy Neuron,2016
On Dimensions of OTA Setups for Massive MIMO Base Stations Radiated Testing,2016
Next-Generation Environment-Aware Cellular Networks: Modern Green Techniques and Implementation Challenges,2016
A Hybrid Mechanism for Innovation Diffusion in Social Networks,2016
A Heterogeneous Service-Oriented Deep Packet Inspection and Analysis Framework for Traffic-Aware Network Management and Security Systems,2016
An Improved Ranking-Based Feature Enhancement Approach for Robust Speaker Recognition,2016
Joint Optimization of User Grouping and Transmitter Connection on Multi-Cell SNR Blind Interference Alignment,2016
Direction Estimation for Pedestrian Monitoring System in Smart Cities: An HMM Based Approach,2016
Metal Artifact Reduction in CT: Where Are We After Four Decades?,2016
An Evaluation of Background Subtraction for Object Detection Vis-a-Vis Mitigating Challenging Scenarios,2016
Haptogram: Ultrasonic Point-Cloud Tactile Stimulation,2016
Secure Transmission in Cognitive MIMO Relaying Networks With Outdated Channel State Information,2016
Systems Engineering of a Terabit Elliptic Orbit Satellite and Phased Array Ground Station for IoT Connectivity and Consumer Internet Access,2016
Toward Efficient 5G Transmission: SER Performance Analysis for Asynchronous Physical-Layer Network Coding,2016
Multivariate Beta Mixture Model for Automatic Identification of Topical Authoritative Users in Community Question Answering Sites,2016
Securing Uplink Transmission for Lightweight Single-Antenna UEs in the Presence of a Massive MIMO Eavesdropper,2016
