Judul,Tahun
Resilient Raw Format Live Video Streaming Framework for an Automated Driving System on an Ethernet-Based In-Vehicle Network,2023
An Overview and Minimum Fault Ramp Rate Analysis of Impedance Based Circuit Breaker Topologies,2023
From Graph Theory to Graph Neural Networks (GNNs): The Opportunities of GNNs in Power Electronics,2023
Lightweight Semantic Segmentation Network Leveraging Class-Aware Contextual Information,2023
Sampled-Data Fuzzy Fault Estimation Observer Design for Nonlinear Systems,2023
Improving Kidney Tumor Classification With Multi-Modal Medical Images Recovered Partially by Conditional CycleGAN,2023
Evaluating the Effectiveness of GPT Large Language Model for News Classification in the IPTC News Ontology,2023
The Analysis of Technical Characteristics of Badminton for Sports With Neurorobotics Under Machine Learning,2023
Unveiling the Power of Simplicity: Two Remarkably Effective Methods for Fingerprint Segmentation,2023
Beyond DDMTD—Sub-Picosecond Timestamps for Asynchronous Clocks,2023
Importance-Weighted Variational Inference Model Estimation for Offline Bayesian Model-Based Reinforcement Learning,2023
"A Survey of Audio Enhancement Algorithms for Music, Speech, Bioacoustics, Biomedical, Industrial, and Environmental Sounds by Image U-Net",2023
Dynamic Slot Allocation Without Explicit Request Messages for Wireless Sensor Networks With Limited Resources,2023
Network-Wide Traffic Signal Control Based on MARL With Hierarchical Nash-Stackelberg Game Model,2023
LinkFND: Simple Framework for False Negative Detection in Recommendation Tasks With Graph Contrastive Learning,2023
Advancements in Carbon Dioxide Modeling: An Algorithm Incorporating In-Situ and Satellite Data for Improved Understanding of pCO Dynamics in the Bay of Bengal,2023
Adversarial Attacks and Defenses on 3D Point Cloud Classification: A Survey,2023
Simultaneous Dynamic Optimization of Technical Indicators and Mining Sequence in Metal Mines Using Hybrid Coding AADE,2023
Establishment of Web-Based Digital Twin System for Truss Gantry Crane,2023
Quantizing YOLOv5 for Real-Time Vehicle Detection,2023
Shedding Light on Blind Spot of Backward Privacy in Dynamic Searchable Symmetric Encryption,2023
SelfRemaster: Self-Supervised Speech Restoration for Historical Audio Resources,2023
Investigation on Quality Prediction Algorithm in Ultrasonic Metal Welding for Multilayered Cu for Battery Cells,2023
Noise Driven Coupled Nonlinear Systems: A “Dynamical Multilayer Perceptron” Demonstrating XOR Functionality,2023
Raytracing Digital Foliage at Millimeter-Wave: A Case Study on Calibration Against 60-GHz Channel Measurements on Summer and Winter Trees,2023
Secure-Energy Efficient Bio-Inspired Clustering and Deep Learning-Based Routing Using Blockchain for Edge Assisted WSN Environment,2023
A High-Gain Filtering Fabry-Perot Antenna With RCS Reduction,2023
Design and Experiments of a Vision-Guided Integrated Cavity Tray Seedling Culling and Replanting System,2023
Analysis of Critical Hazardous State of Vehicle Braking Under Sand Accumulation Situation,2023
Real-Time Local Obstacle Avoidance and Trajectory Tracking Control of Quadrotor UAVs With Suspended Payload in Complex Environments,2023
Graph Regularization Methods in Soft Detector Fusion,2023
A Sigfox Energy Consumption Model via Field Trial: Case of Smart Agriculture,2023
Investigation of Noise Sources in Fractional-Slot Concentrated Winding Motors Considering High-Order Radial/Tangential Electromagnetic Force Combination and Modulation,2023
DeepMetaForge: A Deep Vision-Transformer Metadata-Fusion Network for Automatic Skin Lesion Classification,2023
Remote Sensing Image Road Segmentation Method Integrating CNN-Transformer and UNet,2023
On the Performance of Online Adaptation of Robots Controlled by Nanowire Networks,2023
Urban Water Supply Forecasting Based on CNN-LSTM-AM Spatiotemporal Deep Learning Model,2023
Integrating Peer-to-Peer Energy Trading and Flexibility Market With Self-Sovereign Identity for Decentralized Energy Dispatch and Congestion Management,2023
HeterGenMap: An Evolutionary Mapping Framework for Heterogeneous NoC-Based Neuromorphic Systems,2023
Survey on Blockchain-Enhanced Machine Learning,2023
Research on the Impact of Implicit Contracts on User Knowledge Contribution in Open Innovation Communities,2023
"A Review of Inductive Power Transfer: Emphasis on Performance Parameters, Compensation Topologies and Coil Design Aspects",2023
Topological and Sequential Neural Network Model for Detecting Fake News,2023
Monthly Probability Theoretical Line Loss Calculation Method of Low Voltage Distribution Network Based on Simultaneous Power and Electricity,2023
A Hybrid Intelligence Approach for Circulating Tumor Cell Enumeration in Digital Pathology by Using CNN and Weak Annotations,2023
Probabilistic Enhancement to the LEAP Process for Identifying Technical Debt in Iterative System Development,2023
Electrocardiogram Signal Secure Transmission via a Wireless Communication Protocol of Chaotic Systems Based on Adaptive Sliding Mode Control and Disturbance Observer,2023
Proposing a BSPID Control Strategy Considering External Disturbances for Electric Power Steering (EPS) Systems,2023
Method for Segmentation of Bean Crop and Weeds Based on Improved UperNet,2023
Development of an Alignment Model for the Implementation of DevOps in SMEs: An Exploratory Study,2023
Applications of Self-Supervised Learning to Biomedical Signals: A Survey,2023
Design of a HTS 2 MW Electric Motor for Single-Aisle Regional Aircraft,2023
Canine Biometric Identification Using ECG Signals and CNN-LSTM Neural Networks,2023
YOLO Network Optimization With a Single Circular Bounding Box for Detecting Defective Cigarettes,2023
D-Band 4 × 4 Multi-Feed Array Antenna-in-Package for High-Power Combining and Polarization Synthesis,2023
"IR-UWB Radar-Based Contactless Silent Speech Recognition of Vowels, Consonants, Words, and Phrases",2023
Classification of Companion Animals’ Ocular Diseases: Domain Adversarial Learning for Imbalanced Data,2023
Safe Autonomous Exploration and Adaptive Path Planning Strategy Using Signed Distance Field,2023
Active Heat Flow Sensing for Robust Material Identification,2023
Polarization-Insensitive Electromagnetic Metamaterial Design for Multi-Band Energy Harvesting,2023
Algorithm and VLSI Architecture of a Near-Optimum Symbol Detector for QSM MIMO Systems,2023
Data-Driven Onboard Inter-Turn Short Circuit Fault Diagnosis for Electric Vehicles by Using Real-Time Simulation Environment,2023
Toward More Transparent and Accurate Cancer Diagnosis With an Unsupervised CAE Approach,2023
A Comparative Assessment of Unsupervised Keyword Extraction Tools,2023
Synthetic SAR Data Generator Using Pix2pix cGAN Architecture for Automatic Target Recognition,2023
"A Review on Task Scheduling Techniques in Cloud and Fog Computing: Taxonomy, Tools, Open Issues, Challenges, and Future Directions",2023
Research on Collaborative Optimal Dispatching of Electric Heating Integrated Energy Based on Wind Power Prediction Accuracy,2023
Partial Discharge Characteristics and Growth Stage Recognition of Electrical Tree in XLPE Insulation,2023
Multitenant Containers as a Service (CaaS) for Clouds and Edge Clouds,2023
RGB-D Salient Object Detection Method Based on Multi-Modal Fusion and Contour Guidance,2023
Target Tracking Algorithm for Mobile Robots Based on Siamese Neural Networks,2023
Uncertainty Measurements in Non-Contact Neonatal Heart Rate Monitoring,2023
Extracting Unique Discussions of Interests for Entrepreneurs and Managers in a Set of Business Tweets Without Any Human Bias,2023
Toward Optimal Active Distribution Network Planning: A Critical Review of Conductor Size Selection Methods,2023
Scattered Field Calculation From Microstrip Arrays Using the Combination of Discrete Bodies of Revolution and Domain Decomposition Methods,2023
Enhancing Honey Adulteration Detection With Optimal Subspace Wavelength Reduction in Vis-NIR Reflection Spectroscopy,2023
On the Sideband Harmonics in Pulsed Frequency Diverse Arrays,2023
GeoLake: Bringing Geospatial Support to Lakehouses,2023
A Coarse-to-Fine Approach for Rectifying Distorted Latent Fingerprints From Crime Scenes,2023
Secure Medical Data Against Unauthorized Access Using Decoy Technology in Distributed Edge Computing Networks,2023
Truck Rest Stop Imputation From GPS Data: An Interpretable Activity-Based Continuous Hidden Markov Model,2023
Zero-Shot Transfer Learning Framework for Plant Leaf Disease Classification,2023
"A Survey on the Detection and Impacts of Deepfakes in Visual, Audio, and Textual Formats",2023
Associative Discussion Among Generating Adversarial Samples Using Evolutionary Algorithm and Samples Generated Using GAN,2023
Combined MPC and Dynamic Neural Network-Based UAVs Trajectory Tracking Control,2023
Speech Enhancement Using Dynamic Learning in Knowledge Distillation via Reinforcement Learning,2023
Machine Learning-Driven Ontological Knowledge Base for Bridge Corrosion Evaluation,2023
Section-LIO: A High Accuracy LiDAR-Inertial Odometry Using Undistorted Sectional Point,2023
A Novel Automated Chromosome Analyzer Software Bundle for Karyotyping and Birth Defect Analysis,2023
Coded Pulse Stream LiDAR Based on Optical Orthogonal Frequency-Division Multiple Access,2023
Trajectory Planning Application of Rehabilitation Robots Based on Improved CSA Algorithm,2023
An Adaptive Filtering Algorithm Based on Range-Doppler Information Guidance,2023
Tailored EM Materials for Millimeter-Wave Direct Ink Write Printed Antennas,2023
Decentralized Multi-Objective Energy Management With Dynamic Power Electronic Converters and Demand Response Constraints,2023
ZSS Signature-Based Audit Message Verification Process for Cloud Data Integrity,2023
Deep Learning-Aided QoE Prediction for Virtual Reality Applications Over Open Radio Access Networks,2023
RDEC: Routing Decisions Through Energy-Cost Estimation for IIoT and IWSNs in SDN-Managed Industry 4.0,2023
A New Family of Nyquist Pulses With Improved Performance,2023
On-Chip Acceleration of RF Signal Modulation Classification With Short-Time Fourier Transform and Convolutional Neural Network,2023
Long-Term Trajectory Prediction Model Based on Transformer,2023
Deep Learning-Based Meniscus Tear Detection From Accelerated MRI,2023
Adaptive Single Low-Light Image Enhancement by Fractional Stretching in Logarithmic Domain,2023
NLOS Identification for UWB Positioning Based on IDBO and Convolutional Neural Networks,2023
Pulsed Active Sonar Using Generalized Sinusoidal Frequency Modulation for High-Speed Underwater Target Detection and Tracking,2023
Pseudo-Random Signal Injection for Position Sensorless Control of Five-Phase IPMSM Based on Third Harmonic Space,2023
A Combined Framework Based on Feature Selection and Multivariate Mixed-Frequency for Crude Oil Prices Point and Interval Forecasting,2023
Integrating Quantum and Satellites: A New Era of Connectivity,2023
A Rapid Base Parameter Physical Feasibility Test Algorithm for Industrial Robot Manipulator Identification Using a Recurrent Neural Network,2023
3DHR-Co: A Collaborative Test-Time Refinement Framework for In-the-Wild 3D Human-Body Reconstruction Task,2023
A Kruppa Equation-Based Virtual Reconstruction Method for 3D Images Under Visual Communication Scenes,2023
Voice-Based SVM Model Reliability for Identifying Parkinson’s Disease,2023
SIMPLY+: A Reliable STT-MRAM-Based Smart Material Implication Architecture for In-Memory Computing,2023
Wireless Power Transfer Systems With Composite Cores for Magnetic Field Shielding With Electric Vehicles,2023
Cloud Based Multi-Robot Task Scheduling Using PMW Algorithm,2023
Covariance Shaping Over Riemannian Manifolds for Massive MIMO Communication,2023
Retraction Notice: Rearrangement of Electrical Distribution Networks With Optimal Coordination of Grid-Connected Hybrid Electric Vehicles and Wind Power Generation Sources,2023
Full-Resolution Lung Nodule Localization From Chest X-Ray Images Using Residual Encoder-Decoder Networks,2023
Smatable: A Vibration-Based Sensing Method for Making Ordinary Tables Touch-Interfaces,2023
Cooperative Multi-Agent Traffic Monitoring Can Reduce Camera Surveillance,2023
Implementation in Microcontrollers of an Algorithm for the Simple Generation of Speed Profiles in a Stepper Motor and Their Associated Kinematics,2023
Federated Learning Enabled SDN for Routing Emergency Safety Messages (ESMs) in IoV Under 5G Environment,2023
Toward Spectrum Efficiency and Reliability for Heterogeneous Users in CR-Enabled Social Internet of Things,2023
Investigation of Harmful Substances to Health Using Electronic Nose and Weight Elimination Algorithm With Correlative Gaussian Function,2023
A Reliable System-of-Systems Healthcare Monitoring Framework,2023
Beamforming-as-a-Service for Multicast and Broadcast Services in 5G Systems and Beyond,2023
Investigating Local Receive Arrays in tcMRgFUS System and Their Influence by Passive Antennas: A Simulation Study,2023
"Decentralized Smart Energy Management in Hybrid Microgrids: Evaluating Operational Modes, Resources Optimization, and Environmental Impacts",2023
Modeling and Throughput Optimization of Multi-Gateway LoRaWAN,2023
Uncertainty Analysis of Deep Kernel Learning Methods on Diabetic Retinopathy Grading,2023
Cryptographic Techniques for Data Privacy in Digital Forensics,2023
F-ROADNET: Late Fusion-Based Automotive Radar Object Detection,2023
Physiological Signals-Driven Personal Thermal Comfort System Based on Environmental Intervention,2023
Multi-Scale Infrared Military Target Detection Based on 3X-FPN Feature Fusion Network,2023
Zero-Knowledge Proof of Traffic: A Deterministic and Privacy-Preserving Cross Verification Mechanism for Cooperative Perception Data,2023
Rough Fuzzy Substructures of Quantale Module Under Soft Relations and Corresponding Decision-Making Methods,2023
PDDD-Net: Defect Detection Network Based on Parallel Attention Mechanism and Dual-Channel Spatial Pyramid Pooling,2023
TempoLearn Network: Leveraging Spatio-Temporal Learning for Traffic Accident Detection,2023
A Comparison of SVD-Augmented Prony Algorithms for Noisy Power System Signals,2023
Joint Scheduling and Routing Optimization for Deterministic Hybrid Traffic in Time-Sensitive Networks Using Constraint Programming,2023
A Novel Hybrid Multiple Attribute Decision Making Framework for Enterprise Green Marketing Performance Management Evaluation Based on the Triangular Fuzzy Neutrosophic Sets,2023
Dynamic Korean Sign Language Recognition Using Pose Estimation Based and Attention-Based Neural Network,2023
An Empirical Analysis of Incorrect Account Remediation in the Case of Broken Authentication,2023
Transceiver Design for IRS-Aided Massive MIMO Networks With Rate-Splitting,2023
A Rapidly Direct Algorithm of Explicit Fréchet Derivatives for MCSEM in a 3-D TI Formation Using Finite Volume of Coupled Potentials,2023
Improving Cold Start Stereotype-Based Recommendation Using Deep Learning,2023
An Automatic Detection and Counting Method for Fish Lateral Line Scales of Underwater Fish Based on Improved YOLOv5,2023
Design of Line Loss Rate Calculation Method for Low-Voltage Desk Area Based on GA-LMBP Neural Network Model,2023
Dynamic Anonymous Credential Systems With Controllable Anonymity and Unlinkability,2023
"Design, Realization, and Assessment of a High-Fidelity Physical Simulator for the Investigation of Childbirth-Induced Pelvic Floor Damage",2023
Temporal and Spatial Changes of Vegetation Phenology and Their Response to Climate in the Yellow River Basin,2023
Probabilistic Load Forecasting With Reservoir Computing,2023
A Dynamic and Parallel Two-Stage Lossless Data Compression Method for Smart Grid,2023
TATune: A RocksDB Knob Tuning System Based on Transformer,2023
A Novel Design of High-Efficiency Dual-Band Inverse Doherty Rectifier for Wireless Power Transfer and Energy Harvesting,2023
An Effective Representation Learning Approach: The Integrated Self-Supervised Pre-Training Models of StyleGAN2-ADA and DINO for Colon Polyp Images,2023
DETransMVSnet: Research on Terahertz 3D Reconstruction of Multi-View Stereo Network With Deep Equilibrium Transformers,2023
Spatial Kernel Fuzzy Clustering Methods for Microarray Image Spot Segmentation,2023
Zero-Shot Learners for Natural Language Understanding via a Unified Multiple-Choice Perspective,2023
A Resource-Efficient Multi-Function Embedded Eye Tracker System Implemented on FPGA,2023
Short-Term Power Prediction by Using Least Square Support Vector Machine With Variational Mode Decomposition in a Photovoltaic System,2023
3D Printed Multifunctional Polymeric Nanocomposite Components With Sensing Capability,2023
A Model Predictive Current Control Method for Achieving a High Efficiency and High Robustness Boost PFC Converter Operation,2023
Middleware for Distributed Fulcrum Coding on the Fly: Leveraging Efficient Communications for 5G-IoT Heterogeneous Mobile Devices,2023
Systematization of Shuffling Countermeasures: With an Application to CRYSTALS-Dilithium,2023
Wastewater Treatment and Multi-Criteria Decision-Making Methods: A Review,2023
ML-NLPEmot: Machine Learning-Natural Language Processing Event-Based Emotion Detection Proactive Framework Addressing Mental Health,2023
Automatic Detection in Twitter of Non-Traumatic Grief Due to Deaths by COVID-19: A Deep Learning Approach,2023
High-Dimensional Multiple Fractional-Order Optimizer for Rotor Side Converter of Doubly-Fed Induction Generators,2023
Event Camera-Based Pupil Localization: Facilitating Training With Event-Style Translation of RGB Faces,2023
Reference-Based AI Decision Support for Cybersecurity,2023
Multiphase Dielectric Mixing Model for Concrete Mixtures,2023
Sampling Fingerprints From Multimedia Content Resource Clusters,2023
Human Control of Simulated Modular Soft Robots May Predict the Performance of Optimized AI-Based Controllers,2023
Analysis of Feature Selection Methods in Software Defect Prediction Models,2023
Underwater Animal Identification and Classification Using a Hybrid Classical-Quantum Algorithm,2023
MTRA-CNN: A Multi-Scale Transfer Learning Framework for Glaucoma Classification in Retinal Fundus Images,2023
A Review on Mutual Coupling Reduction Techniques in mmWaves Structures and Massive MIMO Arrays,2023
CBS: A Deep Learning Approach for Encrypted Traffic Classification With Mixed Spatio-Temporal and Statistical Features,2023
Influence of Substrate on Microvia Structures in Printed Circuit Boards During Reflow,2023
Instance-Agnostic and Practical Clean Label Backdoor Attack Method for Deep Learning Based Face Recognition Models,2023
TCNAEC: Advancing Sentence-Level Revision Evaluation Through Diverse Non-Native Academic English Insights,2023
SSBTCNet: Semi-Supervised Brain Tumor Classification Network,2023
Bidirectional Current WP and CBAR Neural Network Model-Based Bearing Fault Diagnosis,2023
Study on Stochastic and Autoregressive Time Series Forecasting for Hydrogen Refueling Station,2023
Classification of Alzheimer’s Disease Using Ensemble Convolutional Neural Network With LFA Algorithm,2023
Esfinge Virtual Lab—A Virtual Laboratory Platform With a Metadata-Based API and Based on Dynamic Component,2023
A Systematic Literature Review of AI-Based Software Requirements Prioritization Techniques,2023
Interpretable Classification of Wiki-Review Streams,2023
Building Structure Control System Application Research Based on Fuzzy Logic Algorithm,2023
Addressing Benign and Malicious Crosstalk in Modern System-on-Chips,2023
3-D Printed Lattice Core for Wide Angle Scanning Radome at X-Band,2023
Confidential Certified Notification Protocol Using Rejectable Soulbound Tokens and Identity-Based Cryptography,2023
Nonlinear Dynamics of Pilot-Operated Hydraulic Control Valves for Submersible Based on Improved Newmark- Integration Method,2023
S-BAN: Secure Blockchain-Based Anonymous Networking Strategy for Privacy-Preserving DSM,2023
Enhancing Arabic Aspect-Based Sentiment Analysis Using End-to-End Model,2023
Toward a Quantum-Science Gateway: A Hybrid Reference Architecture Facilitating Quantum Computing Capabilities for Cloud Utilization,2023
Probability Mass Function-Based Adaptive Median Filtering for Acoustic Radiation Force Impulse Imaging: A Feasibility Study,2023
"Multi-Microservice Migration Modeling, Comparison, and Potential in 5G/6G Mobile Edge Computing: A Non-Average Parameter Values Approach",2023
Review on the Research Progress of Arc Plasma Power Sources in China,2023
Representation and Assessment of Systems Thinking Competencies Through Soft Logic,2023
Integration Design of Compact Balun Filters and Duplexing Balun Filter With Arbitrary Frequency-Selective Response,2023
Embedded Firmware Rehosting System Through Automatic Peripheral Modeling,2023
Output Feedback Control for Deterministic Unknown Dynamics Discrete-Time System Using Deep Recurrent Q-Networks,2023
Improved Radial Movement Optimization With Fuzzy Neural Network Enabled Anomaly Detection for IoT Assisted Smart Cities,2023
Smoothing Methods for Automatic Differentiation Across Conditional Branches,2023
Cryptocurrency Price Prediction Model Based on Sentiment Analysis and Social Influence,2023
Scalable Zero-Shot Logo Recognition,2023
Multi-Aspect Annotation and Analysis of Nepali Tweets on Anti-Establishment Election Discourse,2023
Joint Beamforming Optimization Design and Performance Evaluation of RIS-Aided Wireless Networks: A Comprehensive State-of-the-Art Review,2023
HiCARE: Hierarchical Clustering Algorithm for Road Service Routing Enhancement,2023
Lighting Search Algorithm With Convolutional Neural Network-Based Image Captioning System for Natural Language Processing,2023
Position and Orientation Estimation in Radio Network With Groups of Locally Synchronized Nodes,2023
Stability Improvement of Parallel-Connected Inverters Under Very Weak Distorted Grid Using Observer-Based Incremental Control Scheme,2023
Multi-Criteria Measurement of AI Support to Project Management,2023
AI-Enhanced Digital Creativity Design: Content-Style Alignment for Image Stylization,2023
Review Classification Based on Machine Learning: Classifying Game User Reviews,2023
Evolved Quasi-3D Analysis Method for Analysis Cost Reduction of Axial Flux Permanent Magnet Motor,2023
Aczel-Alsina Aggregation Operators on Complex Fermatean Fuzzy Information With Application to Multi-Attribute Decision Making,2023
DialoguePCN: Perception and Cognition Network for Emotion Recognition in Conversations,2023
Radar Signal Deinterleaving in Electronic Warfare Systems: A Combined Approach,2023
Design of High Speed BCD Adder Using CMOS Technology,2023
A Study on Mobile Crowd Sensing Systems for Healthcare Scenarios,2023
Phase-Aware Speech Enhancement With Complex Wiener Filter,2023
Data-Driven Strategy Decision Integrating Convolution Neural Network With Threat Assessment and Motion Prediction for Automatic Evasive Steering,2023
Drought Forecasting: Application of Ensemble and Advanced Machine Learning Approaches,2023
BPDAC: A Blockchain Based and Provenance Enabled Dynamic Access Control Scheme,2023
Symbolism and Directivity of Joint Keypoints in Temporal and Spatial Dimensions in Human Pose Prediction With GCN-Based Model,2023
A Review of Artificial Neural Networks Applications in Maritime Industry,2023
DRL-Based Resource Allocation for NOMA-Enabled D2D Communications Underlay Cellular Networks,2023
Joint Power Allocation Algorithm for UAV-Borne Simultaneous Transmitting and Reflecting Reconfigurable Intelligent Surface-Assisted Non-Orthogonal Multiple Access System,2023
Dual Connectivity in Heterogeneous Cellular Networks: Analysis of Optimal Splitting of Elastic File Transfers Using Flow-Level Performance Models,2023
How Does a Transformer Learn Compression? An Attention Study on Huffman and LZ4,2023
Fast Surface Reconstruction Technique Based on Anderson Accelerated I-PIA Method,2023
Multi-Step Ahead Prediction for Anomaly Detection of Geomagnetic Observation in HVDC Transmission,2023
MediBioDeBERTa: Biomedical Language Model With Continuous Learning and Intermediate Fine-Tuning,2023
Dynamic MPC-Based Scheduling in a Smart Manufacturing System Problem,2023
"EEG Signal Processing for Medical Diagnosis, Healthcare, and Monitoring: A Comprehensive Review",2023
Deepfake Generation and Detection: Case Study and Challenges,2023
Optimal Signal Design in System Identification for Model Predictive Control (MPC),2023
Classification of Photovoltaic Faults Using PSO-Optimized Compact Convolutional Transformer,2023
Reactive Power Controller for Single Phase Dual Active Bridge DC–DC Converters,2023
Correlation-Diversified Portfolio Construction by Finding Maximum Independent Set in Large-Scale Market Graph,2023
Malicious Data Classification in Packet Data Network Through Hybrid Meta Deep Learning,2023
Symbolic Neural Architecture Search for Differential Equations,2023
YG-SLAM: Enhancing Visual SLAM in Dynamic Environments With YOLOv8 and Geometric Constraints,2023
An Edge-Directed Diffusion Equation-Based Image Restoration Approach for Font Generation,2023
Perturbation AUTOVC: Voice Conversion From Perturbation and Autoencoder Loss,2023
Fingerprinting-Based Indoor Localization With Hybrid Quantum-Deep Neural Network,2023
Calculation Model of Parasitic Capacitance for High-Frequency Inductors and Transformers,2023
A Voltage Ripple Compensation Method for Constant On-Time Buck Converter,2023
Learning From Few Cyber-Attacks: Addressing the Class Imbalance Problem in Machine Learning-Based Intrusion Detection in Software-Defined Networking,2023
Cnnformer: Transformer-Based Semantic Information Enhancement Framework for Behavior Recognition,2023
Blockchain: A Crypto-Intensive Technology—A Comprehensive Review,2023
Suppression of Swirl Arc Re-Strike Under Magnetic Blowing for DC High-Power Application,2023
Optimized Energy Management of Seaports With Integrated AMP Technology and DC Microgrid,2023
Finite-Horizon Variance-Constrained Estimation for Complex Networks Subject to Dynamical Bias Using Binary Encoding Schemes,2023
Delay Dependent Stability Analysis of Load Frequency Control via Asymmetric Lyapunov-Krasovskii Functional,2023
Collabo: A Collaborative Machine Learning Model and Its Application to the Security of Heterogeneous Medical Data in an IoT Network,2023
A Short Time Expansion Measurement Method for the Detection of Aging Effect of Lithium Ion Cells Using a High Resolution Laser Interfometric Setup,2023
A-MAD: An Adaptive-Microseismic Activity Detector Based on Gaussian Mixture Models and Spectral Subtraction,2023
Automated Surface Defect Detection for Hot-Pressed Light Guide Plates Based on GDA-YOLOv7,2023
The Generalized Similarity Measures Based on Complex Interval-Valued Hesitant Fuzzy Sets and Their Applications in Pattern Recognition and Medical Diagnosis,2023
A Survey of Visual SLAM Methods,2023
TY-Net: Transforming YOLO for Hand Gesture Recognition,2023
Detecting Low-Credibility Medical Websites Through Semi-Supervised Learning Techniques,2023
Enhanced Deep Deterministic Policy Gradient Algorithm Using Grey Wolf Optimizer for Continuous Control Tasks,2023
Identification of Lung Tumors in Nude Mice Based on the LIBS With Histogram of Orientation Gradients and Support Vector Machine,2023
Spatially Recalibrated Convolutional Neural Network for Vehicle Type Recognition,2023
Design and Implementation of Optimal Control Scheme for DFIG Based Wind Plant to Mitigate Sub-Synchronous Resonance Issues,2023
A Multi-Kernel Optimized Convolutional Neural Network With Urdu Word Embedding to Detect Fake News,2023
Empowering Knowledge With Virtual and Augmented Reality,2023
An Oracle-Based Framework for Implementing a Quantum Parallel Decoder/Multiplexer,2023
The Analysis of Music Emotion and Visualization Fusing Long Short-Term Memory Networks Under the Internet of Things,2023
"Enhanced C-V2X Mode-4 With Virtual Cell, Resource Usage Bitmap, and Smart Roaming",2023
Underwater Target Classification Based on Feature Fusion and Gene Encoding of CNN-BIGRU-Attention,2023
A Comprehensive Analysis of Model Predictive Control for Lane Keeping Assist System,2023
A More Flexible and Robust Feature Selection Algorithm,2023
Performance of Large Intelligent Surfaces in Multiuser Millimeter Wave MIMO-NOMA Systems,2023
Nonlinear Adaptive Disturbance Rejection Control Strategy Based on VSG for Photovoltaic-Storage Grid-Connected Inverter,2023
Novel Methods for Improved Particle Swarm Optimization in Designing the Bandgap Reference Circuit,2023
Incrementally Learned Angular Representations for Few-Shot Class-Incremental Learning,2023
Graphical Contents and Health Websites Readability,2023
Fuzzy Dynamic Modeling for Accurate Control of Uncertain Mechanical Systems,2023
A 94-GHz High Resolution Radar Using Time Interleaving Active Array in 65-nm CMOS,2023
Impact of Beamforming Algorithms on the Actual RF EMF Exposure From Massive MIMO Base Stations,2023
